Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
April 2018			
Supplier Name	Category Family	Invoice GL Date	Spend
1Spatial Group Ltd	Information Technology	2018-04-10 00:00:00	34839
1st Inrail Ltd	Track	2018-04-24 00:00:00	49195.03
1st Inrail Ltd	Track	2018-04-20 00:00:00	30262.35
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2018-04-03 00:00:00	44148
7futures	HR and Training	2018-04-10 00:00:00	25000
7futures	HR and Training	2018-04-12 00:00:00	42200
ABB Ltd	Electrification and Fixed Plant	2018-04-19 00:00:00	310115.78
ABC Electrification Ltd	Electrification and Fixed Plant	2018-04-19 00:00:00	177470
ABC Electrification Ltd	Regulatory Charges	2018-04-01 00:00:00	249337.88
ABC Electrification Ltd	Electrification and Fixed Plant	2018-04-18 00:00:00	1525371.3
ABC Electrification Ltd	Electrification and Fixed Plant	2018-04-11 00:00:00	67151.13
ABC Electrification Ltd	Electrification and Fixed Plant	2018-04-11 00:00:00	3397646.41
ABC Electrification Ltd	Electrification and Fixed Plant	2018-04-27 00:00:00	37356
ABC Electrification Ltd	Electrification and Fixed Plant	2018-04-16 00:00:00	873596.44
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-16 00:00:00	26058.99
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-27 00:00:00	36206.33
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-18 00:00:00	64985.81
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-18 00:00:00	88723.85
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-27 00:00:00	81807.84
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-13 00:00:00	35398.27
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-25 00:00:00	101601.26
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-25 00:00:00	95478.35
AECOM Infrastructure & Environment UK Ltd	General Civils	2018-04-24 00:00:00	54971.33
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-24 00:00:00	27896.82
AECOM Infrastructure & Environment UK Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2018-04-12 00:00:00	57899.43
AECOM Infrastructure & Environment UK Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2018-04-24 00:00:00	60571.52
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-10 00:00:00	107689
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-10 00:00:00	53846.15
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-23 00:00:00	68999
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-20 00:00:00	128079.1
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-16 00:00:00	186239.63
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-16 00:00:00	38461
AECOM Infrastructure & Environment UK Ltd	Track	2018-04-10 00:00:00	90766
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-16 00:00:00	33424
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-04-04 00:00:00	33424
