Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
				
				
				
Spend over £25,000				
Details of our periodic spend over £25,000				
February 2017				
Supplier Name	Item Description	Category Family	Invoice GL Date	Spend
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-02-24 00:00:00	18888100.19
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-02-20 00:00:00	12055405.43
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-23 00:00:00	5369634.3
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-22 00:00:00	1479578.24
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-17 00:00:00	353779.12
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-02-16 00:00:00	201755.14
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-17 00:00:00	177906.21
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-16 00:00:00	161998.85
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-09 00:00:00	148726.72
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-21 00:00:00	125324.86
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-20 00:00:00	92645.98
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-21 00:00:00	91411.43
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-21 00:00:00	86853.27
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-21 00:00:00	76614.72
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-14 00:00:00	51455.6
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-28 00:00:00	46757.13
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-10 00:00:00	43885.04
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-21 00:00:00	41846.25
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-08 00:00:00	33334.98
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-02-15 00:00:00	32258.24
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-17 00:00:00	31841.2
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-02-17 00:00:00	31431.01
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-28 00:00:00	31226.7
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-20 00:00:00	30000
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-02-07 00:00:00	25502.86
EDF Energy Customers Plc	Procurement of utilities to operate the railway	Utilities	2017-02-09 00:00:00	28004022.35
EDF Energy Customers Plc	Procurement of utilities to operate the railway	Utilities	2017-02-27 00:00:00	485157.93
