Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
				
				
				
Spend over £25,000				
Details of our periodic spend over £25,000				
January 2017				
Supplier Name	Item Description	Category Family	Invoice GL Date	Spend
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-01-24 00:00:00	23520332.46
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-01-23 00:00:00	13865983.13
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-24 00:00:00	6046343.67
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-30 00:00:00	894496.96
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-19 00:00:00	885541.5
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-05 00:00:00	885227.29
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	176459.02
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-12 00:00:00	174331.39
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-19 00:00:00	164455
Costain Ltd	Procurement of infrastructure support services such as de-vegetation and fencing to operate the railway	Infrastructure Support Services	2017-01-26 00:00:00	155106.16
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-04 00:00:00	142186.3
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	133345.4
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	128466.96
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	127332.69
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	126353.76
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-11 00:00:00	119055.18
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-23 00:00:00	115957.43
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-01-24 00:00:00	98383.5
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-19 00:00:00	96728.44
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-04 00:00:00	81464.24
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	69911.03
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-11 00:00:00	68009.14
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-23 00:00:00	52593.37
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-01-20 00:00:00	32889.82
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-26 00:00:00	30495.43
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-01-23 00:00:00	29614.02
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-01-20 00:00:00	27578.39
