Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
July 2017			
Supplier Name	Category Family	Invoice GL Date	Spend
1st Inrail Ltd	General Civils	2017-07-12 00:00:00	49758.3
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2017-07-19 00:00:00	28000
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2017-07-19 00:00:00	60000
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2017-07-20 00:00:00	58002.11
ABB Ltd	Electrification and Fixed Plant	2017-07-05 00:00:00	28635
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-06 00:00:00	27924.75
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-25 00:00:00	93058.72
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-17 00:00:00	505394.21
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-14 00:00:00	37996.77
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-10 00:00:00	1150683.38
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-06 00:00:00	77222.78
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-12 00:00:00	355312.87
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-12 00:00:00	423736.23
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-11 00:00:00	195204
ABC Electrification Ltd	Electrification and Fixed Plant	2017-07-12 00:00:00	3964912.83
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-18 00:00:00	195313.68
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-19 00:00:00	80710.84
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-19 00:00:00	121367.38
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-12 00:00:00	88942.14
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-03 00:00:00	31490.47
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-31 00:00:00	42326.76
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-19 00:00:00	62727.44
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-19 00:00:00	53903.35
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-19 00:00:00	34085.15
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-10 00:00:00	307692
AECOM Infrastructure & Environment UK Ltd	General Civils	2017-07-23 00:00:00	57520.98
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-11 00:00:00	53884
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-04 00:00:00	56134.43
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-25 00:00:00	67181
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-14 00:00:00	39801
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2017-07-27 00:00:00	100447.99
AECOM Infrastructure & Environment UK Ltd	General Civils	2017-07-12 00:00:00	27976.22
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-14 00:00:00	27759.41
AECOM Infrastructure & Environment UK Ltd	Track	2017-07-14 00:00:00	153844
