Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
				
				
				
Spend over £25,000				
Details of our periodic spend over £25,000				
April 2017				
Supplier Name	Item Description	Category Family	Invoice GL Date	Spend
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-18 00:00:00	132836259.96
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-12 00:00:00	1730766.34
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-19 00:00:00	1333475.42
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-21 00:00:00	985020.02
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-26 00:00:00	686570.99
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-24 00:00:00	685560.25
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-12 00:00:00	478971.12
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-06 00:00:00	315687.3
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-18 00:00:00	113466.93
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-21 00:00:00	106769.85
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-18 00:00:00	98360.96
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-21 00:00:00	96555.58
ABC Electrification Ltd	Procurement of overhead line materials and services to maintain and improve the railway	Electrification and Fixed Plant	2017-04-10 00:00:00	38567.82
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-04-21 00:00:00	15563457.15
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-04-13 00:00:00	14516415.91
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-04-20 00:00:00	4770136.77
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-04-24 00:00:00	2097319.84
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-04-25 00:00:00	572416
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-04-12 00:00:00	354096.35
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-04-20 00:00:00	308486.35
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-04-12 00:00:00	219959.35
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-04-28 00:00:00	116827.3
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-04-12 00:00:00	105365.61
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-04-28 00:00:00	104719.9
