Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
February 2019			
Supplier Name	Category Family	Invoice GL Date	Spend
1Spatial Group Ltd	Information Technology	2019-02-02 00:00:00	57660
1st Inrail Ltd	Track	2019-02-02 00:00:00	27235.81
1st Inrail Ltd	Track	2019-02-02 00:00:00	26699.8
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2019-02-02 00:00:00	46649.98
ABB Ltd	Electrification and Fixed Plant	2019-02-15 00:00:00	687545.7
ABB Ltd	Electrification and Fixed Plant	2019-02-26 00:00:00	761292.24
ABC Electrification Ltd	Regulatory Charges	2019-02-02 00:00:00	26010.14
ABC Electrification Ltd	Electrification and Fixed Plant	2019-02-18 00:00:00	732602.13
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-02-02 00:00:00	25146.12
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-18 00:00:00	47683.97
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-07 00:00:00	137743.39
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-14 00:00:00	74574.83
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-07 00:00:00	48019.45
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-02-02 00:00:00	27982.98
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-02-21 00:00:00	36624.22
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-02-02 00:00:00	47675.71
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-28 00:00:00	40000
AECOM Infrastructure & Environment UK Ltd	General Civils	2019-02-02 00:00:00	25807.64
AECOM Infrastructure & Environment UK Ltd	General Civils	2019-02-02 00:00:00	65612.02
AECOM Infrastructure & Environment UK Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2019-02-02 00:00:00	34076.52
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	93846
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-22 00:00:00	36229.08
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	31917
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	25591.72
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	30140.01
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	137254.36
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	149809.6
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	60411
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-25 00:00:00	30107.8
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-25 00:00:00	56185
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	81546.93
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-25 00:00:00	35864.49
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	100242.06
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	127915.82
AECOM Infrastructure & Environment UK Ltd	Track	2019-02-21 00:00:00	85437.23
