Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
				
				
				
Spend over £25,000				
Details of our periodic spend over £25,000				
March 2017				
Supplier Name	Item Description	Category Family	Invoice GL Date	Spend
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-03-21 00:00:00	21693188.38
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-03-17 00:00:00	16670491.94
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-23 00:00:00	5946709.45
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-23 00:00:00	2607954.81
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-16 00:00:00	2318047.35
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-03-06 00:00:00	686882.48
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-23 00:00:00	330321.01
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-30 00:00:00	300330.1
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-03-20 00:00:00	285848.57
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-17 00:00:00	242603.91
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-23 00:00:00	240083
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-20 00:00:00	207850.1
Costain Ltd	Procurement of infrastructure support services such as de-vegetation and fencing to operate the railway	Infrastructure Support Services	2017-03-21 00:00:00	183607.12
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-30 00:00:00	158541.66
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-03 00:00:00	153000
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-29 00:00:00	150000
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-20 00:00:00	122642.79
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-23 00:00:00	106454.28
Costain Ltd	Procurement of materials and services for building maintenance and development	Buildings	2017-03-08 00:00:00	103828.01
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-13 00:00:00	103818.07
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-02 00:00:00	94294.96
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-21 00:00:00	90874.95
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-30 00:00:00	89678.91
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-13 00:00:00	86384.59
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-20 00:00:00	71972.2
Costain Ltd	Procurement of civil engineering services to maintain and improve the railway	General Civils	2017-03-23 00:00:00	68303.69
Costain Ltd	Procurement of specialist human resource to maintain and improve the railway	Professional Services Direct	2017-03-06 00:00:00	63215.06
