Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
May 2018			
Supplier Name	Category Family	Invoice GL Date	Spend
1Spatial Group Ltd	Information Technology	2018-05-30 00:00:00	35085
1st Inrail Ltd	Track	2018-05-27 00:00:00	33791.99
ABB Ltd	Electrification and Fixed Plant	2018-05-17 00:00:00	514420.78
ABC Electrification Ltd	Electrification and Fixed Plant	2018-05-14 00:00:00	1034505.78
ABC Electrification Ltd	Electrification and Fixed Plant	2018-05-30 00:00:00	105779.75
ABC Electrification Ltd	Electrification and Fixed Plant	2018-05-14 00:00:00	549066.99
ABC Electrification Ltd	Electrification and Fixed Plant	2018-05-15 00:00:00	800000
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-12 00:00:00	62464.05
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-07 00:00:00	29291.99
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-12 00:00:00	28526.62
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-20 00:00:00	28771.32
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	25174.05
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-17 00:00:00	439610.38
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	34746.64
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	54463.52
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	115202.42
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-18 00:00:00	38000
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	69337.38
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-23 00:00:00	46000
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-18 00:00:00	57904
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-17 00:00:00	138000
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	105471.82
AECOM Infrastructure & Environment UK Ltd	Track	2018-05-15 00:00:00	221543.82
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-16 00:00:00	26139.07
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-20 00:00:00	32245.96
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-05-20 00:00:00	29363.04
AECOM Ltd	Professional Services Direct	2018-05-15 00:00:00	28270.1
AECOM Ltd	General Civils	2018-05-25 00:00:00	215330.07
AECOM Ltd	Professional Services Direct	2018-05-14 00:00:00	28069.63
ANT Telecommunications Ltd	Telecoms	2018-05-18 00:00:00	90173.2
APB Group Ltd	General Civils	2018-05-14 00:00:00	36035.64
APCOA Parking (UK) Ltd	Facilities - Soft Services	2018-05-02 00:00:00	188431.32
ASE Corporate Eyecare Ltd	HR and Training	2018-05-09 00:00:00	39718.4
AXA PPP Healthcare Admin Services Ltd T/A PPP Healthcare	HR and Training	2018-05-27 00:00:00	166598.37
Abellio ScotRail Ltd	Regulatory Charges	2018-05-13 00:00:00	125192.5
