Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
December 2018			
Supplier Name	Category Family	Invoice GL Date	Spend
ABB Ltd	Electrification and Fixed Plant	2018-12-05 00:00:00	1125890.42
ABB Ltd	Electrification and Fixed Plant	2018-12-18 00:00:00	1923318.4
ABC Electrification Ltd	Electrification and Fixed Plant	2018-12-19 00:00:00	220085.47
ABC Electrification Ltd	Electrification and Fixed Plant	2018-12-18 00:00:00	1828059.54
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-06 00:00:00	60410.4
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-24 00:00:00	83201.48
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2018-12-20 00:00:00	62476.51
AECOM Infrastructure & Environment UK Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2018-12-05 00:00:00	57940.41
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	93846
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	328155
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	78551.06
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	35000.31
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	25591.24
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	157865
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	66470
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	166956
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-20 00:00:00	232950.64
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	324241
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	56975.04
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	71175.71
AECOM Infrastructure & Environment UK Ltd	Track	2018-12-19 00:00:00	39599.45
AECOM Ltd	Professional Services Direct	2018-12-24 00:00:00	36420.98
AECOM Ltd	Professional Services Direct	2018-12-20 00:00:00	167425.83
AECOM Ltd	Professional Services Direct	2018-12-20 00:00:00	62078.03
AM1 Projects Ltd	Electrification and Fixed Plant	2018-12-03 00:00:00	30673.05
AM1 Projects Ltd	Electrification and Fixed Plant	2018-12-05 00:00:00	46216.26
AM1 Projects Ltd	Electrification and Fixed Plant	2018-12-05 00:00:00	108733.01
Addleshaw Goddard	Land & Property Acquisitions (incl. Business Consultancy)	2018-12-12 00:00:00	12317801.16
Addleshaw Goddard	Land & Property Acquisitions (incl. Business Consultancy)	2018-12-05 00:00:00	161800
Addleshaw Goddard	Land & Property Acquisitions (incl. Business Consultancy)	2018-12-21 00:00:00	29074
Aero Healthcare Ltd	Supplies and Services	2018-12-07 00:00:00	122538.4
Alan Dick Communications Ltd	Telecoms	2018-12-13 00:00:00	32783.03
Alstom Transport UK Ltd	Signalling	2018-12-13 00:00:00	39637.4
Alstom Transport UK Ltd	Signalling	2018-12-12 00:00:00	189941.82
Alstom Transport UK Ltd	Signalling	2018-12-17 00:00:00	781970.01
