Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
			
Spend over £25,000			
Details of our monthly spend over £25,000			
June 2020			
Supplier Name	Category Family	Invoice GL Date	Spend
1st Inrail Ltd	General Civils	2020-06-27 00:00:00	41258.72
1st Inrail Ltd	Track	2020-06-27 00:00:00	44775.77
1st Inrail Ltd	Track	2020-06-27 00:00:00	48641.03
1st Inrail Ltd	Track	2020-06-27 00:00:00	36514.52
1st Inrail Ltd	Track	2020-06-27 00:00:00	25412.64
1st Inrail Ltd	Track	2020-06-27 00:00:00	30174.9
1st Inrail Ltd	Track	2020-06-27 00:00:00	28709.25
1st Inrail Ltd	Track	2020-06-27 00:00:00	29351.43
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2020-06-27 00:00:00	31954.62
24-7 Industrial Services UK Ltd	Buildings	2020-06-27 00:00:00	93143
3Squared Ltd	Information Technology	2020-06-27 00:00:00	279000
A R Cook & Son (Plant Hire) Ltd	Buildings	2020-06-27 00:00:00	34781.96
ABP Associates Ltd	Facilities - Hard Services	2020-06-27 00:00:00	28662.4
AECOM Infrastructure & Environment UK Ltd	DSF National Multi-Discipline	2020-06-27 00:00:00	30732.73
AECOM Infrastructure & Environment UK Ltd	DSF National Multi-Discipline	2020-06-27 00:00:00	30732.73
AECOM Infrastructure & Environment UK Ltd	General Civils	2020-06-27 00:00:00	67397.39
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	30723.04
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	33585.15
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	49839.08
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	40210.81
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	132302.65
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	39339.56
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	47389.64
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	41564.27
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	97013.21
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	33585.15
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	47836.6
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-06-27 00:00:00	67688.31
AECOM Ltd	General Civils	2020-06-27 00:00:00	204551.25
AECOM Ltd	General Civils	2020-06-27 00:00:00	173200
AECOM Ltd	General Civils	2020-06-27 00:00:00	29066.58
AECOM Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2020-06-27 00:00:00	66398
AECOM Ltd	Professional Services Direct	2020-06-27 00:00:00	108665.44
AECOM Ltd	Professional Services Direct	2020-06-27 00:00:00	131429.37
AECOM Ltd	Professional Services Direct	2020-06-27 00:00:00	65544.44
AECOM Ltd	Professional Services Direct	2020-06-27 00:00:00	83496.31
AECOM Ltd	Track	2020-06-01 00:00:00	61731.16
